Var1,Var2,Obs,Exp,PMR,PMR_95CI,PAR
I119,I250,1927,63.15,30.51,"(29.14, 31.88)",5.84
E149,I119,606,50.01,12.12,"(11.16, 13.08)",2.06
F03,I10,1039,372.9,2.79,"(2.61, 2.97)",1.83
E149,I250,518,22.43,23.09,"(21.11, 25.07)",1.71
F03,I119,623,25.9,24.05,"(22.17, 25.93)",1.62
I119,J449,438,32,13.69,"(12.42, 14.96)",1.45
E149,I10,800,382.06,2.09,"(1.95, 2.23)",1.4
F03,I250,500,20.55,24.33,"(22.19, 26.47)",1.3
I250,J449,409,22.47,18.2,"(16.44, 19.96)",1.3
F03,I48,536,168.15,3.19,"(2.92, 3.46)",0.98
I119,I48,330,20.77,15.89,"(14.18, 17.6)",0.92
E149,F03,373,76.11,4.9,"(4.41, 5.39)",0.87
I250,I48,318,20.34,15.63,"(13.91, 17.35)",0.87
F03,I251,421,130.13,3.24,"(2.93, 3.55)",0.81
F179,I119,218,29.85,7.3,"(6.34, 8.26)",0.75
F03,J449,342,89.44,3.82,"(3.41, 4.23)",0.73
F179,I250,210,27.23,7.71,"(6.67, 8.75)",0.67
E149,I251,327,131.59,2.48,"(2.21, 2.75)",0.66
F03,M819,243,15.06,16.14,"(14.1, 18.18)",0.61
E149,J449,255,92.15,2.77,"(2.44, 3.1)",0.59
I10,J449,494,324.48,1.52,"(1.38, 1.66)",0.56
E149,I48,278,122.15,2.28,"(2.01, 2.55)",0.49
I10,M819,202,37.81,5.34,"(4.6, 6.08)",0.46
I10,I250,181,43.15,4.19,"(3.58, 4.8)",0.44
I48,J449,331,195.75,1.69,"(1.51, 1.87)",0.43
I251,I48,411,270.67,1.52,"(1.38, 1.66)",0.42
T519,X45,86,2.96,29.05,"(22.92, 35.18)",0.4
I119,I251,134,13.98,9.59,"(7.96, 11.22)",0.39
I119,M819,147,3.45,42.61,"(35.73, 49.49)",0.39
F03,R54,173,32.09,5.39,"(4.59, 6.19)",0.36
I250,M819,130,3.13,41.53,"(34.4, 48.66)",0.35
F03,G20,151,37.02,4.08,"(3.43, 4.73)",0.34
G309,I10,205,88.78999999999999,2.31,"(2, 2.62)",0.32
G309,I119,117,6.02,19.44,"(15.91, 22.97)",0.32
J449,M819,114,8.14,14,"(11.43, 16.57)",0.31
I250,R54,114,5.99,19.03,"(15.54, 22.52)",0.28
F03,R263,98,5.16,18.99,"(15.23, 22.75)",0.27
I119,R54,108,5.54,19.49,"(15.81, 23.17)",0.27
G309,I250,97,4.98,19.48,"(15.6, 23.36)",0.26
I131,I250,82,2.68,30.6,"(23.98, 37.22)",0.26
G20,I119,85,3.35,25.37,"(19.98, 30.76)",0.25
I48,M819,103,13.37,7.7,"(6.21, 9.19)",0.24
E669,I119,60,9.41,6.38,"(4.77, 7.99)",0.23
T510,X45,45,2.96,15.2,"(10.75, 19.65)",0.22
I119,I38,72,3.83,18.8,"(14.45, 23.15)",0.21
T68,X31,68,4.86,13.99,"(10.66, 17.32)",0.21
I10,R263,71,6.1,11.64,"(8.94, 14.34)",0.2
I110,I250,66,2.55,25.88,"(19.63, 32.13)",0.2
E149,E669,62,19.81,3.13,"(2.35, 3.91)",0.19
E669,I250,48,3.18,15.09,"(10.82, 19.36)",0.19
F03,R53,102,31.85,3.2,"(2.57, 3.83)",0.19
F03,R628,164,96.16,1.71,"(1.46, 1.96)",0.19
E785,F03,128,62.809999999999995,2.04,"(1.69, 2.39)",0.18
F03,I64,127,64.98,1.95,"(1.62, 2.28)",0.18
G20,I250,63,2.69,23.42,"(17.64, 29.2)",0.18
E149,I64,89,37.25,2.39,"(1.9, 2.88)",0.17
G309,M819,68,4.01,16.96,"(12.92, 21)",0.17
F03,N390,96,39.07,2.46,"(1.97, 2.95)",0.16
F102,I119,38,3.85,9.87,"(6.73, 13.01)",0.16
G20,I10,104,49.88,2.09,"(1.7, 2.48)",0.16
I269,I802,71,25.94,2.74,"(2.11, 3.37)",0.16
C349,J449,57,16.060000000000002,3.55,"(2.63, 4.47)",0.15
E119,I119,49,7.0200000000000005,6.98,"(5.02, 8.94)",0.15
F102,I250,34,1.18,28.81,"(19.13, 38.49)",0.15
I250,I38,50,1.9000000000000001,26.32,"(19.03, 33.61)",0.15
I48,R263,57,3.04,18.75,"(13.89, 23.61)",0.15
E149,G309,62,15.31,4.05,"(3.05, 5.05)",0.14
F03,I516,57,6.67,8.55,"(6.34, 10.76)",0.14
F03,J189,112,61.440000000000005,1.82,"(1.49, 2.15)",0.14
G309,I48,90,39.08,2.3,"(1.83, 2.77)",0.14
I10,R54,111,56.51,1.96,"(1.59, 2.33)",0.14
I119,J439,39,4.63,8.42,"(5.77, 11.07)",0.14
I250,I500,65,17.7,3.67,"(2.77, 4.57)",0.14
I250,J189,50,4.46,11.21,"(8.09, 14.33)",0.14
E149,M819,47,3.1199999999999997,15.06,"(10.75, 19.37)",0.13
F03,I120,96,47.269999999999996,2.03,"(1.62, 2.44)",0.13
G309,I251,82,33.43,2.45,"(1.92, 2.98)",0.13
I10,I269,76,36.730000000000004,2.07,"(1.6, 2.54)",0.13
I10,M898,45,2.45,18.37,"(13, 23.74)",0.13
I250,J439,36,2.48,14.52,"(9.78, 19.26)",0.13
I251,M819,56,8.96,6.25,"(4.6, 7.9)",0.13
E142,I10,83,48.4,1.71,"(1.34, 2.08)",0.12
E149,I131,37,5.61,6.6,"(4.48, 8.72)",0.12
E149,I516,39,5.36,7.28,"(4.99, 9.57)",0.12
E149,R54,56,12.24,4.58,"(3.38, 5.78)",0.12
F03,M898,44,1.42,30.99,"(21.84, 40.14)",0.12
I10,R55,45,5.24,8.59,"(6.08, 11.1)",0.12
I250,I64,41,5.28,7.77,"(5.4, 10.14)",0.12
I48,R54,76,28.25,2.69,"(2.08, 3.3)",0.12
I500,M819,58,11.59,5,"(3.71, 6.29)",0.12
J449,R54,60,13.860000000000001,4.33,"(3.23, 5.43)",0.12
D649,F03,89,48.4,1.84,"(1.47, 2.21)",0.11
E142,I251,61,29.01,2.1,"(1.57, 2.63)",0.11
F03,I269,50,10.629999999999999,4.7,"(3.39, 6.01)",0.11
F03,R568,53,18.13,2.92,"(2.14, 3.7)",0.11
F101,I10,33,6.4,5.16,"(3.4, 6.92)",0.11
G20,I48,59,21.81,2.71,"(2.02, 3.4)",0.11
I119,K746,28,2,14,"(8.81, 19.19)",0.11
I251,I38,46,9.39,4.9,"(3.49, 6.31)",0.11
I251,I64,96,62.2,1.54,"(1.23, 1.85)",0.11
I500,R263,41,2.81,14.59,"(10.12, 19.06)",0.11
C349,I119,28,1.6,17.5,"(11.01, 23.99)",0.1
E119,I250,37,7.37,5.02,"(3.39, 6.65)",0.1
E149,G20,41,11.44,3.58,"(2.48, 4.68)",0.1
E785,I119,37,7.04,5.26,"(3.57, 6.95)",0.1
F102,I10,29,6.34,4.57,"(2.9, 6.24)",0.1
F179,M819,39,7.96,4.9,"(3.37, 6.43)",0.1
G20,I251,54,21.55,2.51,"(1.84, 3.18)",0.1
I110,I48,48,13.28,3.61,"(2.59, 4.63)",0.1
I119,I269,28,2.71,10.33,"(6.51, 14.15)",0.1
I119,J189,36,4.6000000000000005,7.83,"(5.28, 10.38)",0.1
I48,R55,38,3.54,10.73,"(7.32, 14.14)",0.1
J449,R263,34,2.0300000000000002,16.75,"(11.12, 22.38)",0.1
M819,R54,43,3.69,11.65,"(8.16, 15.14)",0.1
